ts,tempExt,accX,accY,accZ,gyroX,gyroY,gyroZ,motorTemp,noise
2026-08-25T20:14:05.670+02:00,4.3,9.6,0.1,4.2,-0.1,-0.07,0.01,27.2,150
2026-08-25T20:14:21.570+02:00,22.56,9.12,-0.11,5.93,-0.03,-0.07,-0.07,27.49,1375
2026-08-25T20:14:22.568+02:00,22.56,9.21,0.06,5.88,-0.1,-0.07,0.01,27.31,1611
2026-08-25T20:14:23.568+02:00,22.56,9.26,-0.11,6.01,-0.1,-0.07,0.0,27.35,1489
2026-08-25T20:14:24.567+02:00,22.56,9.21,-0.12,5.99,-0.1,-0.07,0.01,27.17,1499
2026-08-25T20:14:25.567+02:00,22.56,8.93,-0.16,5.82,-0.1,-0.06,0.0,27.17,1690
2026-08-25T20:14:26.566+02:00,22.62,9.07,-0.32,5.87,-0.1,-0.07,0.0,27.26,1406
2026-08-25T20:14:27.564+02:00,22.56,8.96,-0.33,5.87,-0.1,-0.07,0.01,27.26,1457
2026-08-25T20:14:28.564+02:00,22.56,9.05,-0.12,5.79,-0.1,-0.07,0.01,27.35,1398
2026-08-25T20:14:29.565+02:00,22.62,9.23,-0.25,5.93,-0.1,-0.07,0.0,27.35,1584
2026-08-25T20:14:30.565+02:00,22.62,9.13,-0.25,5.93,-0.1,-0.07,0.01,27.35,1438
2026-08-25T20:14:31.564+02:00,22.62,9.2,-0.03,5.93,-0.1,-0.07,0.01,27.26,1548
2026-08-25T20:14:32.563+02:00,22.62,9.28,-0.13,5.93,-0.11,-0.07,0.0,27.31,1096
2026-08-25T20:14:33.563+02:00,22.62,8.92,-0.48,5.82,-0.1,-0.07,0.01,27.26,1066
2026-08-25T20:14:34.562+02:00,22.62,8.9,-0.25,5.88,-0.1,-0.07,0.01,27.31,1129
2026-08-25T20:14:35.566+02:00,22.62,9.0,-0.45,5.74,-0.1,-0.07,0.0,27.26,1224
2026-08-25T20:14:36.564+02:00,22.62,8.98,-0.46,5.93,-0.1,-0.07,0.01,27.31,1430
2026-08-25T20:14:37.562+02:00,22.62,9.04,-0.16,5.91,-0.1,-0.07,0.01,27.35,1470
2026-08-25T20:14:38.561+02:00,22.62,9.13,-0.07,5.83,-0.11,-0.07,0.0,27.35,1304
2026-08-25T20:14:39.562+02:00,22.62,9.0,-0.36,5.8,-0.1,-0.07,0.01,27.31,1118
2026-08-25T20:14:40.562+02:00,22.62,8.88,-0.31,5.86,-0.1,-0.07,0.01,27.4,1675
2026-08-25T20:14:41.564+02:00,22.62,9.13,0.04,5.9,-0.1,-0.07,0.01,27.31,1541
2026-08-25T20:14:42.560+02:00,22.62,9.29,-0.07,5.95,-0.1,-0.07,0.01,27.31,1456
2026-08-25T20:14:43.560+02:00,22.62,9.15,-0.01,6.02,-0.1,-0.07,0.01,27.4,1466
2026-08-25T20:14:44.561+02:00,22.62,9.2,0.05,5.98,-0.1,-0.07,0.01,27.31,1449
2026-08-25T20:14:46.408+02:00,22.62,9.16,-0.02,5.78,-0.11,-0.07,-0.03,27.35,1372
2026-08-25T20:14:47.410+02:00,22.62,9.3,-0.09,5.82,-0.1,-0.07,0.0,27.35,1268
2026-08-25T20:14:48.408+02:00,22.62,9.11,-0.09,5.94,-0.1,-0.07,0.01,27.35,1273
2026-08-25T20:14:49.408+02:00,22.62,9.0,-0.24,5.8,-0.1,-0.07,0.01,27.31,1119
2026-08-25T20:14:50.410+02:00,22.69,9.09,-0.44,5.78,-0.11,-0.07,0.0,27.4,1403
2026-08-25T20:14:51.409+02:00,22.62,9.12,-0.2,5.96,-0.1,-0.07,0.01,27.4,1505
2026-08-25T20:14:52.407+02:00,22.62,9.16,0.01,5.92,-0.1,-0.07,0.01,27.4,1660
2026-08-25T20:14:53.408+02:00,22.62,9.05,-0.38,5.73,-0.1,-0.07,0.0,27.4,1057
2026-08-25T20:14:54.408+02:00,22.62,9.11,-0.32,5.99,-0.1,-0.07,0.01,27.4,1276
2026-08-25T20:14:55.408+02:00,22.62,9.13,-0.05,6.06,-0.1,-0.07,0.01,27.4,1134
2026-08-25T20:14:56.406+02:00,22.62,9.2,-0.06,5.85,-0.1,-0.07,0.0,27.4,1343
2026-08-25T20:14:57.406+02:00,22.62,9.01,-0.29,-0.0,-0.0,-0.0,-0.0,36.53,1746
2026-08-25T20:14:58.407+02:00,22.69,9.18,-0.07,6.03,-0.1,-0.07,0.01,27.4,1308
2026-08-25T20:14:59.405+02:00,22.62,9.18,-0.04,5.91,-0.1,-0.07,0.01,27.35,1515
2026-08-25T20:15:00.406+02:00,22.62,9.03,-0.39,5.78,-0.1,-0.07,0.0,27.49,1208
2026-08-25T20:15:01.407+02:00,22.62,8.94,-0.43,5.87,-0.1,-0.07,0.01,27.45,1673
2026-08-25T20:15:02.404+02:00,22.69,9.05,-0.15,5.9,-0.1,-0.07,0.01,27.4,1904
2026-08-25T20:15:03.404+02:00,22.62,9.04,-0.37,5.84,-0.1,-0.07,0.01,27.35,1440
2026-08-25T20:15:04.404+02:00,22.62,9.0,-0.44,5.83,-0.1,-0.07,0.01,27.35,1472
2026-08-25T20:15:05.403+02:00,22.69,9.16,-0.05,6.0,-0.1,-0.07,0.02,27.54,1761
2026-08-25T20:15:06.404+02:00,22.69,9.06,-0.12,5.76,-0.1,-0.07,0.0,27.45,1653
2026-08-25T20:15:07.403+02:00,22.62,9.25,-0.06,5.92,-0.1,-0.07,0.0,27.45,1777
2026-08-25T20:15:08.404+02:00,22.62,8.94,-0.35,5.92,-0.1,-0.07,0.02,27.54,1505
2026-08-25T20:15:09.404+02:00,22.62,9.03,-0.15,5.83,-0.1,-0.06,0.01,27.54,1339
2026-08-25T20:15:10.403+02:00,22.69,8.96,-0.35,5.74,-0.1,-0.07,0.0,27.45,1611
2026-08-25T20:15:11.401+02:00,22.62,9.01,-0.38,5.84,-0.1,-0.07,0.01,27.45,1848
2026-08-25T20:15:12.401+02:00,22.62,9.13,-0.02,6.13,-0.03,-0.03,-0.03,35.77,1909
2026-08-25T20:15:13.402+02:00,22.62,8.99,-0.26,5.74,-0.1,-0.07,0.0,27.49,1171
2026-08-25T20:15:14.402+02:00,22.69,9.15,-0.21,5.84,-0.1,-0.07,0.01,27.49,1263
2026-08-25T20:15:16.397+02:00,22.62,8.89,-0.26,5.78,-0.1,-0.07,0.02,27.49,1242
2026-08-25T20:15:17.400+02:00,22.62,9.05,-0.4,5.79,-0.11,-0.07,0.0,27.49,1651
2026-08-25T20:15:18.399+02:00,22.62,9.06,-0.22,5.95,-0.1,-0.07,0.0,27.49,1642
2026-08-25T20:15:19.400+02:00,22.69,8.94,-0.34,5.91,-0.1,-0.07,0.01,27.49,1527
2026-08-25T20:15:20.400+02:00,22.69,9.22,0.04,5.82,-0.11,-0.07,0.0,27.59,1689
2026-08-25T20:15:21.400+02:00,22.69,9.19,-0.06,5.86,-0.11,-0.07,0.01,27.54,1578
2026-08-25T20:15:22.401+02:00,22.69,8.89,-0.47,5.83,-0.1,-0.07,0.01,27.45,1155
2026-08-25T20:15:23.399+02:00,22.69,9.11,-0.1,5.97,-0.1,-0.07,0.01,27.54,1396
2026-08-25T20:15:24.399+02:00,22.69,9.06,-0.38,5.79,-0.11,-0.07,0.0,27.54,1510
2026-08-25T20:15:25.397+02:00,22.69,9.06,-0.2,5.88,-0.1,-0.07,0.01,27.54,1684
2026-08-25T20:15:26.397+02:00,22.62,9.09,-0.11,5.94,-0.1,-0.07,0.02,27.54,1169
2026-08-25T20:15:27.396+02:00,22.69,9.2,-0.08,5.8,-0.1,-0.07,0.0,27.54,1218
2026-08-25T20:15:28.398+02:00,22.69,9.3,-0.05,5.98,-0.1,-0.07,0.0,27.54,1216
2026-08-25T20:15:29.398+02:00,22.69,9.09,-0.16,5.89,-0.1,-0.07,0.02,27.54,1422
2026-08-25T20:15:30.396+02:00,22.69,9.03,-0.15,5.83,-0.1,-0.07,0.01,27.59,1501
2026-08-25T20:15:31.395+02:00,22.69,9.21,-0.16,5.84,-0.1,-0.07,0.0,27.54,1239
2026-08-25T20:15:32.395+02:00,22.62,9.08,-0.19,5.98,-0.1,-0.07,0.01,27.59,1454
2026-08-25T20:15:33.396+02:00,22.69,9.02,-0.06,5.88,-0.1,-0.07,0.01,27.59,958
2026-08-25T20:15:34.396+02:00,22.69,9.05,-0.25,5.79,-0.11,-0.07,0.01,27.59,1527
2026-08-25T20:15:35.394+02:00,22.62,8.94,-0.37,5.94,-0.1,-0.07,0.01,27.64,1489
2026-08-25T20:15:36.394+02:00,22.69,9.05,-0.14,5.91,-0.1,-0.07,0.01,27.68,1704
2026-08-25T20:15:37.397+02:00,22.62,9.23,-0.17,5.85,-0.1,-0.07,0.0,27.64,1450
2026-08-25T20:15:38.393+02:00,22.62,9.16,-0.23,5.89,-0.1,-0.07,0.01,27.68,1291
2026-08-25T20:15:39.392+02:00,22.69,9.15,-0.02,5.91,-0.1,-0.06,0.01,27.64,1508
2026-08-25T20:15:40.394+02:00,22.62,9.04,-0.26,5.67,-0.1,-0.07,0.01,27.64,1517
2026-08-25T20:15:41.394+02:00,22.62,8.97,-0.43,5.78,-0.1,-0.07,0.01,27.73,1594
2026-08-25T20:15:42.398+02:00,22.69,8.94,-0.34,5.78,-0.1,-0.07,0.01,27.64,1036
2026-08-25T20:15:43.392+02:00,22.69,9.13,-0.17,5.72,-0.1,-0.07,0.01,27.64,1144
2026-08-25T20:15:44.391+02:00,22.62,9.16,-0.1,5.94,-0.11,-0.07,0.01,27.64,1108
2026-08-25T20:15:46.390+02:00,22.62,9.21,-0.03,5.9,-0.11,-0.07,0.01,27.73,1582
2026-08-25T20:15:47.392+02:00,22.62,8.99,-0.46,5.7,-0.11,-0.07,0.0,27.68,1198
2026-08-25T20:15:48.391+02:00,22.62,9.19,-0.15,6.0,-0.1,-0.07,0.01,27.68,1187
2026-08-25T20:15:49.390+02:00,22.69,9.17,-0.03,5.94,-0.1,-0.07,0.01,27.68,907
2026-08-25T20:15:50.389+02:00,22.69,9.13,-0.11,5.87,-0.1,-0.07,-0.0,27.68,1207
2026-08-25T20:15:51.391+02:00,22.62,9.04,-0.25,-0.31,-0.03,-0.03,-0.03,35.77,1640
2026-08-25T20:15:52.390+02:00,22.69,8.93,-0.26,5.84,-0.1,-0.07,0.01,27.73,1470
2026-08-25T20:15:53.390+02:00,22.62,9.26,0.0,5.89,-0.1,-0.07,0.0,27.82,1478
2026-08-25T20:15:54.390+02:00,22.62,9.08,-0.23,5.9,-0.1,-0.07,0.0,27.64,1157
2026-08-25T20:15:55.388+02:00,22.62,8.92,-0.24,5.84,-0.1,-0.07,0.01,27.73,1543
2026-08-25T20:15:56.389+02:00,22.69,9.04,-0.23,5.75,-0.1,-0.07,0.0,27.73,1775
