ts,vib_fs,vib_n,ms_capture,ms_total,failed_bursts,bad_frames,retries,total_retries,cont_rejects,total_cont_rejects,unpublished_bursts,rms_x,rms_y,rms_z,peak_x,peak_y,peak_z,kurt_x,kurt_y,kurt_z,fdom_x,fdom_y,fdom_z,adom_x,adom_y,adom_z,f2_x,f2_y,f2_z,a2_x,a2_y,a2_z,f3_x,f3_y,f3_z,a3_x,a3_y,a3_z,aud_fs,aud_n,aud_rms,aud_b0,aud_b1,aud_b2,aud_b3
2026-08-28T00:00:10.320+02:00,1000,1024,1024,1056,44,336,2,2916,0,244,0,1.1208,0.2248,0.045,1.7303,0.3838,0.1443,1.54,1.559,2.861,49.36,49.37,99.45,1.5745,0.314,0.027,54.82,148.18,49.33,0.0464,0.0379,0.027,44.43,100.55,147.99,0.0425,0.0125,0.0187,16000,1024,365.48,0.6893,0.2807,0.0239,0.0061
2026-08-28T00:00:40.320+02:00,1000,1024,1024,1056,44,336,0,2916,0,244,0,1.1332,0.2411,0.3671,1.7035,0.3985,1.7387,1.534,1.487,4.561,49.43,49.44,475.24,1.6483,0.3404,0.124,148.24,148.43,49.12,0.041,0.0488,0.1184,99.04,99.2,88.85,0.039,0.0291,0.1051,16000,1024,556.81,0.8256,0.1573,0.0133,0.0038
2026-08-28T00:01:10.319+02:00,1000,1024,1024,1056,44,336,0,2916,0,244,0,1.1011,0.229,0.0535,1.6443,0.3874,0.6957,1.535,1.528,57.873,49.38,49.38,49.19,1.6056,0.3292,0.0339,148.16,148.28,98.58,0.0427,0.0391,0.0245,98.85,99.64,198.01,0.0339,0.0174,0.0173,16000,1024,740.44,0.9212,0.0715,0.0063,0.0011
2026-08-28T00:01:40.321+02:00,1000,1024,1024,1056,44,336,0,2916,0,244,0,1.1056,0.2272,0.0483,1.6695,0.3927,0.1533,1.54,1.523,2.754,49.38,49.38,49.51,1.6113,0.3306,0.041,148.19,147.99,148.12,0.0476,0.0384,0.0244,98.8,99.62,98.55,0.0326,0.022,0.0224,16000,1024,526.45,0.8676,0.1076,0.0193,0.0055
2026-08-28T00:02:10.320+02:00,1000,1024,1024,1056,44,336,1,2917,0,244,0,1.1353,0.2286,0.2948,1.7266,0.4036,1.5608,1.541,1.516,8.273,49.36,49.36,12.28,1.6082,0.321,0.1632,44.77,147.93,350.93,0.0564,0.036,0.1039,39.68,99.13,305.38,0.0523,0.0189,0.0959,16000,1024,928.61,0.9474,0.0475,0.0039,0.0011
2026-08-28T00:02:40.320+02:00,1000,1024,1024,1056,44,337,0,2917,0,244,0,1.1934,0.218,0.049,1.8196,0.372,0.1657,1.545,1.506,2.841,49.32,49.32,49.38,1.7506,0.318,0.0476,148.04,147.93,99.0,0.0502,0.0323,0.0281,98.42,100.23,148.12,0.0285,0.0159,0.0189,16000,1024,767.81,0.8826,0.1035,0.0109,0.0031
2026-08-28T00:03:10.325+02:00,1000,1024,1024,1056,44,337,0,2917,0,244,0,1.2203,0.2156,0.1121,1.8681,0.3537,1.3627,1.54,1.489,59.987,49.33,49.32,4.46,1.7914,0.3138,0.0528,147.99,147.93,49.32,0.0513,0.0337,0.0536,98.57,100.18,280.62,0.0366,0.0175,0.0361,16000,1024,540.28,0.6251,0.3534,0.0176,0.0039
2026-08-28T00:03:40.322+02:00,1000,1024,1024,1056,44,337,0,2917,0,244,0,1.2439,0.2155,0.1516,1.8925,0.3714,0.6766,1.541,1.476,13.181,49.32,49.31,49.5,1.83,0.3094,0.0421,147.97,148.01,1.46,0.0563,0.0357,0.0415,98.56,99.27,495.51,0.0368,0.0148,0.0343,16000,1024,640.44,0.8881,0.1016,0.0077,0.0026
2026-08-28T00:04:10.325+02:00,1000,1024,1024,1056,44,337,0,2917,0,244,0,1.2616,0.2151,0.1722,1.9129,0.3757,0.6767,1.544,1.47,9.681,49.2,49.2,20.06,1.8081,0.304,0.0578,147.52,147.38,152.46,0.0502,0.0305,0.0516,53.43,99.33,132.49,0.043,0.0222,0.049,16000,1024,520.3,0.6745,0.299,0.0218,0.0047
2026-08-28T00:04:40.322+02:00,1000,1024,1024,1056,44,337,0,2917,0,244,0,1.2737,0.2179,0.2462,1.901,0.408,1.3489,1.542,1.469,11.943,49.29,49.29,8.49,1.8736,0.3191,0.1163,147.86,147.74,15.14,0.0582,0.0377,0.1085,98.59,99.26,77.05,0.038,0.0246,0.0779,16000,1024,660.84,0.865,0.1237,0.008,0.0033
