ts,health,streak,notify,lof,env,n_peaks,us_inference
2026-08-28T00:00:10.323+02:00,nominal,0,0,-1.2795,-33.17,1,1190
2026-08-28T00:00:40.322+02:00,nominal,0,0,-1.039,-26.89,1,1340
2026-08-28T00:01:10.321+02:00,nominal,0,0,-1.0518,-28.67,1,1264
2026-08-28T00:01:40.322+02:00,nominal,0,0,-1.104,-25.92,1,1250
2026-08-28T00:02:10.322+02:00,nominal,0,0,-1.2518,-24.08,1,1295
2026-08-28T00:02:40.322+02:00,nominal,0,0,-1.0446,-14.41,1,1352
2026-08-28T00:03:10.327+02:00,nominal,0,0,-1.0012,-37.17,1,1234
2026-08-28T00:03:40.325+02:00,nominal,0,0,-1.0438,-19.72,1,1254
2026-08-28T00:04:10.330+02:00,nominal,0,0,-1.0453,-31.85,1,1235
2026-08-28T00:04:40.324+02:00,nominal,0,0,-1.0283,-17.29,1,1279
2026-08-28T00:05:10.327+02:00,anomaly,1,0,-1.7528,-727.7,1,1257
2026-08-28T00:05:40.331+02:00,nominal,0,0,-1.0066,-14.89,1,1228
2026-08-28T00:06:10.326+02:00,nominal,0,0,-1.1383,-153.81,1,1224
2026-08-28T00:06:40.325+02:00,nominal,0,0,-1.0878,-23.68,1,1257
2026-08-28T00:07:10.328+02:00,nominal,0,0,-1.0916,-31.22,1,1241
2026-08-28T00:07:40.330+02:00,nominal,0,0,-1.0112,-18.09,1,1234
2026-08-28T00:08:10.330+02:00,nominal,0,0,-1.1465,-18.95,1,1235
2026-08-28T00:08:40.329+02:00,nominal,0,0,-1.0506,-16.46,1,1244
2026-08-28T00:09:10.327+02:00,nominal,0,0,-1.0639,-15.78,1,1247
2026-08-28T00:09:40.329+02:00,nominal,0,0,-1.0956,-22.05,1,1266
2026-08-28T00:10:40.328+02:00,nominal,0,0,-1.0341,-16.65,1,1408
2026-08-28T00:11:10.331+02:00,nominal,0,0,-1.1695,-13.69,1,1221
2026-08-28T00:11:40.330+02:00,nominal,0,0,-1.0731,-23.12,1,1234
2026-08-28T00:12:10.329+02:00,nominal,0,0,-1.2395,-27.24,1,1285
2026-08-28T00:12:40.331+02:00,nominal,0,0,-1.0969,-11.78,1,1241
2026-08-28T00:13:10.331+02:00,nominal,0,0,-1.0597,-13.81,1,1250
2026-08-28T00:13:40.330+02:00,nominal,0,0,-1.1201,-20.78,1,1273
2026-08-28T00:14:10.331+02:00,anomaly,1,0,-1.4627,-20.14,1,1212
2026-08-28T00:14:40.334+02:00,nominal,0,0,-1.1503,-53.62,1,1169
2026-08-28T00:15:10.333+02:00,anomaly,1,0,-1.6925,-385.63,1,1254
2026-08-28T00:15:40.335+02:00,nominal,0,0,-1.1828,-14.1,1,1232
2026-08-28T00:16:10.335+02:00,nominal,0,0,-1.1702,-18.32,1,1209
2026-08-28T00:16:40.336+02:00,nominal,0,0,-1.4063,-17.41,1,1237
2026-08-28T00:17:10.333+02:00,anomaly,1,0,-1.6021,-309.21,1,1255
2026-08-28T00:17:40.343+02:00,nominal,0,0,-1.166,-31.29,1,1236
2026-08-28T00:18:10.347+02:00,nominal,0,0,-1.1167,-12.11,1,1222
2026-08-28T00:18:40.337+02:00,nominal,0,0,-1.235,-30.88,1,1217
2026-08-28T00:19:10.340+02:00,anomaly,1,0,-1.6803,-216.81,1,1212
2026-08-28T00:19:40.335+02:00,nominal,0,0,-1.38,-14.42,1,1260
2026-08-28T00:20:10.348+02:00,nominal,0,0,-1.291,-15.14,1,1224
2026-08-28T00:20:40.343+02:00,nominal,0,0,-1.3308,-14.09,1,1231
2026-08-28T00:21:10.341+02:00,anomaly,1,0,-1.7675,-40.81,1,1239
2026-08-28T00:21:40.338+02:00,anomaly,2,0,-1.5257,-28.94,1,1233
2026-08-28T00:22:10.337+02:00,nominal,0,0,-1.307,-17.51,1,1277
2026-08-28T00:22:40.352+02:00,anomaly,1,0,-1.4501,-129.15,1,1261
2026-08-28T00:23:10.338+02:00,anomaly,2,0,-1.4976,-122.4,1,1255
2026-08-28T00:23:40.346+02:00,anomaly,3,1,-2.4855,-519.85,1,1245
2026-08-28T00:24:10.340+02:00,anomaly,4,0,-1.8028,-108.44,1,1208
2026-08-28T00:24:40.340+02:00,anomaly,5,0,-1.4511,-166.63,1,1219
2026-08-28T00:25:10.342+02:00,anomaly,6,0,-1.6363,-262.48,1,1215
2026-08-28T00:25:40.341+02:00,anomaly,7,0,-1.739,-249.6,1,1217
2026-08-28T00:26:10.342+02:00,nominal,0,0,-1.4298,-155.48,1,1224
2026-08-28T00:26:40.343+02:00,anomaly,1,0,-2.2066,-105.43,1,1217
2026-08-28T00:27:10.342+02:00,anomaly,2,0,-1.8353,-326.05,1,1257
2026-08-28T00:27:40.343+02:00,anomaly,3,1,-1.677,-176.61,1,1217
2026-08-28T00:28:10.342+02:00,anomaly,4,0,-2.1792,-430.01,1,1220
2026-08-28T00:28:40.343+02:00,anomaly,5,0,-1.5994,-282.35,1,1235
2026-08-28T00:29:10.344+02:00,anomaly,6,0,-2.2587,-503.38,1,1242
2026-08-28T00:29:40.344+02:00,anomaly,7,0,-1.9749,-60.71,1,1292
2026-08-28T00:30:10.346+02:00,anomaly,8,0,-1.4971,-39.98,1,1233
2026-08-28T00:30:40.345+02:00,not_evaluable,8,0,0.0,0.0,0,12
2026-08-28T00:31:10.346+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:31:40.345+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:32:10.345+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:32:40.345+02:00,not_evaluable,8,0,0.0,0.0,0,9
2026-08-28T00:33:10.347+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:33:40.347+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:34:10.352+02:00,not_evaluable,8,0,0.0,0.0,0,11
2026-08-28T00:34:40.354+02:00,not_evaluable,8,0,0.0,0.0,0,12
2026-08-28T00:35:10.350+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:35:40.353+02:00,not_evaluable,8,0,0.0,0.0,0,13
2026-08-28T00:36:10.357+02:00,not_evaluable,8,0,0.0,0.0,0,13
2026-08-28T00:36:40.350+02:00,not_evaluable,8,0,0.0,0.0,0,15
2026-08-28T00:37:10.349+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:37:40.350+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:38:10.351+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:38:40.350+02:00,not_evaluable,8,0,0.0,0.0,0,13
2026-08-28T00:39:10.351+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:39:40.355+02:00,not_evaluable,8,0,0.0,0.0,0,11
2026-08-28T00:40:10.353+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:40:40.352+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:41:10.354+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:41:40.353+02:00,not_evaluable,8,0,0.0,0.0,0,13
2026-08-28T00:42:10.355+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:42:40.354+02:00,not_evaluable,8,0,0.0,0.0,0,9
2026-08-28T00:43:10.355+02:00,not_evaluable,8,0,0.0,0.0,0,12
2026-08-28T00:43:40.356+02:00,not_evaluable,8,0,0.0,0.0,0,12
2026-08-28T00:44:10.354+02:00,not_evaluable,8,0,0.0,0.0,0,8
2026-08-28T00:44:40.357+02:00,not_evaluable,8,0,0.0,0.0,0,15
2026-08-28T00:45:10.361+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:45:40.357+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:46:10.357+02:00,not_evaluable,8,0,0.0,0.0,0,11
2026-08-28T00:46:40.358+02:00,not_evaluable,8,0,0.0,0.0,0,13
2026-08-28T00:47:10.358+02:00,not_evaluable,8,0,0.0,0.0,0,10
2026-08-28T00:47:40.359+02:00,not_evaluable,8,0,0.0,0.0,0,7
2026-08-28T00:48:10.359+02:00,not_evaluable,8,0,0.0,0.0,0,11
2026-08-28T00:48:40.363+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:49:10.362+02:00,not_evaluable,8,0,0.0,0.0,0,9
2026-08-28T00:49:40.367+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:50:10.369+02:00,not_evaluable,8,0,0.0,0.0,0,14
2026-08-28T00:50:40.364+02:00,not_evaluable,8,0,0.0,0.0,0,14
