ts,tempExt,accX,accY,accZ,gyroX,gyroY,gyroZ,motorTemp,noise
2026-08-27T00:00:00.915+02:00,30.31,10.19,-0.22,1.6,-0.02,-0.01,-0.02,38.37,681
2026-08-27T00:00:01.915+02:00,30.31,10.19,-0.17,1.61,-0.03,-0.0,-0.01,38.41,438
2026-08-27T00:00:02.915+02:00,30.25,10.21,-0.24,1.58,-0.02,-0.0,-0.02,38.41,359
2026-08-27T00:00:03.915+02:00,30.25,10.17,-0.16,1.63,-0.03,-0.0,-0.02,38.41,779
2026-08-27T00:00:05.902+02:00,30.25,10.13,-0.2,1.59,-0.03,-0.01,-0.02,38.37,761
2026-08-27T00:00:06.909+02:00,30.25,10.19,-0.16,1.66,-0.02,-0.0,-0.02,38.41,243
2026-08-27T00:00:07.905+02:00,30.25,10.19,-0.19,1.53,-0.02,-0.0,-0.02,38.37,256
2026-08-27T00:00:08.905+02:00,30.31,10.21,-0.19,1.65,-0.02,-0.0,-0.02,38.46,229
2026-08-27T00:00:09.905+02:00,30.25,10.22,-0.23,1.58,-0.02,-0.01,-0.02,38.46,296
2026-08-27T00:00:10.905+02:00,30.31,10.25,-0.2,1.66,-0.02,-0.0,-0.02,38.41,274
2026-08-27T00:00:11.905+02:00,30.31,10.19,-0.15,1.56,-0.02,-0.0,-0.02,38.37,152
2026-08-27T00:00:12.905+02:00,30.31,10.2,-0.2,1.62,-0.03,-0.0,-0.02,38.32,399
2026-08-27T00:00:13.905+02:00,30.25,10.17,-0.19,1.64,-0.02,-0.0,-0.02,38.32,612
2026-08-27T00:00:14.905+02:00,30.31,10.19,-0.22,1.62,-0.02,-0.0,-0.02,38.46,558
2026-08-27T00:00:15.905+02:00,30.31,10.25,-0.15,1.72,-0.03,-0.0,-0.02,38.37,1079
2026-08-27T00:00:16.905+02:00,30.31,10.22,-0.1,1.6,-0.02,-0.01,-0.02,38.37,438
2026-08-27T00:00:17.905+02:00,30.31,10.15,-0.23,1.62,-0.02,-0.01,-0.02,38.37,350
2026-08-27T00:00:18.905+02:00,30.31,10.14,-0.19,1.61,-0.02,-0.0,-0.02,38.27,3514
2026-08-27T00:00:19.905+02:00,30.31,10.18,-0.18,1.65,-0.02,-0.0,-0.02,38.32,319
2026-08-27T00:00:20.905+02:00,30.31,10.22,-0.16,1.59,-0.02,-0.01,-0.02,38.22,64
2026-08-27T00:00:21.905+02:00,30.25,10.14,-0.21,1.63,-0.03,-0.01,-0.02,38.32,279
2026-08-27T00:00:22.905+02:00,30.25,10.26,-0.17,1.55,-0.02,-0.01,-0.02,38.32,494
2026-08-27T00:00:23.906+02:00,30.25,10.14,-0.16,1.57,-0.02,-0.01,-0.02,38.41,911
2026-08-27T00:00:24.905+02:00,30.25,10.23,-0.17,1.54,-0.03,-0.01,-0.02,38.22,497
2026-08-27T00:00:25.905+02:00,30.31,10.24,-0.22,1.55,-0.02,-0.01,-0.02,38.27,542
2026-08-27T00:00:26.905+02:00,30.25,10.2,-0.16,1.65,-0.02,-0.0,-0.02,38.37,312
2026-08-27T00:00:27.905+02:00,30.31,10.24,-0.0,-0.31,-0.07,-0.07,-0.07,35.02,822
2026-08-27T00:00:28.905+02:00,30.25,10.26,-0.23,1.62,-0.02,-0.01,-0.02,38.37,567
2026-08-27T00:00:29.905+02:00,30.25,10.19,-0.24,1.62,-0.02,-0.01,-0.02,38.32,436
2026-08-27T00:00:30.905+02:00,30.25,10.19,-0.16,1.59,-0.02,-0.0,-0.02,38.32,80
2026-08-27T00:00:31.905+02:00,30.25,10.21,-0.21,1.64,-0.02,-0.0,-0.02,38.32,336
2026-08-27T00:00:32.905+02:00,30.25,10.21,-0.17,1.61,-0.02,-0.01,-0.02,38.32,284
