ts,tempExt,accX,accY,accZ,gyroX,gyroY,gyroZ,motorTemp,noise
2026-08-26T11:45:12.757+02:00,25.44,1.48,-1.66,11.65,-0.11,-0.07,0.01,31.07,904
2026-08-26T11:45:13.757+02:00,25.44,1.61,-1.35,11.37,-0.09,-0.06,0.0,31.12,1232
2026-08-26T11:45:14.756+02:00,25.5,1.97,-1.8,12.22,-0.12,-0.08,0.01,31.02,1332
2026-08-26T11:45:15.756+02:00,25.44,1.5,-1.32,11.33,-0.12,-0.08,0.01,31.07,2054
2026-08-26T11:45:16.756+02:00,25.5,1.53,-1.67,11.78,-0.11,-0.08,0.01,31.02,2643
2026-08-26T11:45:17.756+02:00,25.5,1.77,-1.75,12.05,-0.12,-0.08,0.0,31.07,909
2026-08-26T11:45:18.756+02:00,25.44,1.85,-1.14,11.19,-0.09,-0.06,0.0,31.12,1471
2026-08-26T11:45:19.756+02:00,25.44,1.36,-1.63,11.72,-0.11,-0.07,0.02,31.07,6700
2026-08-26T11:45:20.756+02:00,25.44,1.47,-1.63,11.42,-0.11,-0.07,0.01,31.02,1036
2026-08-26T11:45:21.756+02:00,25.44,1.62,-1.63,11.57,-0.08,-0.06,0.0,31.12,1342
2026-08-26T11:45:22.755+02:00,25.5,1.81,-1.67,12.01,-0.12,-0.08,0.01,31.07,3044
2026-08-26T11:45:23.752+02:00,25.5,1.42,-1.31,11.42,-0.11,-0.08,0.01,31.02,1459
2026-08-26T11:45:24.755+02:00,25.5,1.49,-1.39,11.37,-0.11,-0.07,0.0,31.17,3015
2026-08-26T11:45:25.754+02:00,25.44,1.95,-1.85,12.19,-0.13,-0.09,-0.0,31.02,858
2026-08-26T11:45:26.754+02:00,25.44,1.55,-1.27,11.19,-0.1,-0.07,0.01,31.17,978
2026-08-26T11:45:27.754+02:00,25.5,1.41,-1.7,11.71,-0.11,-0.07,0.01,31.17,1194
2026-08-26T11:45:28.754+02:00,25.5,1.56,-1.43,11.37,-0.11,-0.07,0.0,31.12,2266
2026-08-26T11:45:29.750+02:00,25.5,1.78,-1.81,11.74,-0.09,-0.06,0.01,31.12,3584
2026-08-26T11:45:30.752+02:00,25.5,1.73,-1.51,11.79,-0.11,-0.07,0.02,31.12,7071
2026-08-26T11:45:31.752+02:00,25.5,1.49,-1.59,11.59,-0.11,-0.07,0.01,31.07,15779
2026-08-26T11:45:32.752+02:00,25.5,1.75,-1.55,11.79,-0.11,-0.08,-0.0,31.12,6580
2026-08-26T11:45:33.752+02:00,25.44,2.01,-1.43,11.92,-0.13,-0.09,0.01,31.02,1179
2026-08-26T11:45:34.751+02:00,25.5,1.44,-1.43,11.37,-0.1,-0.07,0.01,31.12,1109
2026-08-26T11:45:35.751+02:00,25.5,1.58,-1.7,11.82,-0.11,-0.08,0.01,31.21,1567
2026-08-26T11:45:36.748+02:00,25.5,1.57,-1.3,11.11,-0.11,-0.07,0.0,31.12,1610
2026-08-26T11:45:37.750+02:00,25.5,1.56,-1.98,11.95,-0.08,-0.06,0.01,31.12,2391
2026-08-26T11:45:38.748+02:00,25.5,1.53,-1.69,11.62,-0.11,-0.07,0.02,31.12,1668
2026-08-26T11:45:39.751+02:00,25.5,1.47,-1.54,11.48,-0.11,-0.07,0.01,31.12,4311
2026-08-26T11:45:40.750+02:00,25.5,1.68,-1.59,11.82,-0.1,-0.06,0.0,31.21,1283
2026-08-26T11:45:42.098+02:00,25.5,1.5,-1.46,11.14,-0.11,-0.07,0.01,31.07,5005
2026-08-26T11:45:43.101+02:00,25.5,1.89,-1.89,12.25,-0.11,-0.07,0.01,31.02,3740
2026-08-26T11:45:44.097+02:00,25.5,1.77,-1.29,11.69,-0.12,-0.09,0.0,31.12,1238
2026-08-26T11:45:45.100+02:00,25.44,1.41,-1.47,11.54,-0.11,-0.07,0.01,31.07,1226
2026-08-26T11:45:46.100+02:00,25.44,1.6,-1.57,11.46,-0.12,-0.08,0.01,31.07,2374
2026-08-26T11:45:47.100+02:00,25.5,1.69,-1.99,11.93,-0.09,-0.06,0.01,31.12,1786
2026-08-26T11:45:48.099+02:00,25.44,1.45,-1.96,11.91,-0.12,-0.08,0.01,31.07,1477
2026-08-26T11:45:49.099+02:00,25.5,1.4,-1.5,11.45,-0.11,-0.07,0.01,31.07,1300
2026-08-26T11:45:50.110+02:00,25.5,1.79,-1.74,12.25,-0.12,-0.09,0.0,31.07,1931
2026-08-26T11:45:51.098+02:00,25.5,1.87,-1.07,11.16,-0.1,-0.07,0.0,31.12,1251
