ts,vib_fs,vib_n,ms_capture,ms_total,failed_bursts,bad_frames,retries,total_retries,rms_x,rms_y,rms_z,peak_x,peak_y,peak_z,kurt_x,kurt_y,kurt_z,fdom_x,fdom_y,fdom_z,adom_x,adom_y,adom_z,aud_fs,aud_n,aud_rms,aud_b0,aud_b1,aud_b2,aud_b3
2026-08-25T17:48:27.056+02:00,1000,1024,1024,1053,0,8,0,45,0.0326,0.0287,0.0434,0.1113,0.0981,0.1431,3.085,2.942,2.931,110.56,73.41,130.1,0.0071,0.0065,0.0106,16000,1024,414.83,0.9927,0.0048,0.0018,0.0006
2026-08-25T17:48:57.055+02:00,1000,1024,1024,1053,0,9,0,45,0.0446,0.031,0.0938,0.1929,0.2151,1.9614,3.496,4.922,281.508,45.12,71.13,6.15,0.0209,0.0068,0.0232,16000,1024,571.44,0.9063,0.0758,0.0161,0.0018
2026-08-25T17:49:27.055+02:00,1000,1024,1024,1053,0,9,0,45,0.0322,0.0293,0.0439,0.108,0.0999,0.1387,3.023,2.707,3.053,78.42,254.6,3.72,0.0067,0.0066,0.011,16000,1024,160.92,0.9778,0.0162,0.0041,0.002
2026-08-25T17:49:57.057+02:00,1000,1024,1024,1053,0,9,2,47,0.0318,0.0309,0.0981,0.1168,0.215,1.966,3.196,7.051,315.148,68.99,50.65,162.38,0.0089,0.0062,0.0103,16000,1024,498.06,0.9765,0.0152,0.0069,0.0014
2026-08-25T17:50:27.057+02:00,1000,1024,1024,1053,0,9,1,48,1.408,0.2236,0.1096,5.286,0.4006,1.9627,1.669,1.497,151.737,49.13,49.12,49.15,1.9906,0.3142,0.0785,16000,1024,766.35,0.7962,0.1688,0.0291,0.0059
2026-08-25T17:50:57.057+02:00,1000,1024,1024,1053,0,9,0,48,1.2687,0.2354,0.1068,1.9011,0.4286,1.9612,1.521,1.563,222.704,49.35,49.36,49.51,1.8496,0.3371,0.05,16000,1024,521.67,0.7162,0.2636,0.0161,0.0041
2026-08-25T17:51:27.074+02:00,1000,1024,1044,1074,0,10,28,76,1.3401,0.2337,0.2137,9.4351,0.447,2.2539,5.493,1.635,72.692,29.6,29.51,52.33,0.6585,0.1223,0.037,16000,1024,1476.7,0.916,0.0783,0.0046,0.0011
2026-08-25T17:51:57.057+02:00,1000,1024,1024,1053,0,10,1,77,1.2304,0.2355,0.0559,1.85,0.4204,0.1839,1.524,1.551,2.738,49.41,49.4,49.5,1.7193,0.3238,0.0391,16000,1024,350.92,0.7661,0.2101,0.0186,0.0053
2026-08-25T17:52:27.057+02:00,1000,1024,1024,1053,0,10,5,82,1.2294,0.2328,0.1041,1.8463,0.405,1.9677,1.53,1.542,249.73,49.37,49.37,49.52,1.5499,0.293,0.0297,16000,1024,2803.07,0.9874,0.011,0.0012,0.0004
2026-08-25T17:52:57.060+02:00,1000,1024,1024,1054,0,11,0,82,1.1978,0.2304,0.0759,2.8533,0.399,1.6658,1.547,1.519,227.778,49.32,49.32,49.38,1.7533,0.3345,0.0417,16000,1024,1320.53,0.9448,0.0466,0.0058,0.0028
2026-08-25T17:53:27.058+02:00,1000,1024,1024,1053,0,11,1,83,1.1884,0.2311,0.0969,7.5352,0.4192,1.9713,2.996,1.537,252.824,49.34,49.34,49.33,1.7037,0.3339,0.0408,16000,1024,342.21,0.651,0.3246,0.0177,0.0067
2026-08-25T17:53:57.060+02:00,1000,1024,1024,1053,0,11,26,109,1.1863,0.2353,0.1798,1.8123,0.399,2.0153,1.535,1.481,106.732,27.54,27.5,18.8,0.4875,0.1048,0.0381,16000,1024,380.37,0.5871,0.3925,0.014,0.0064
2026-08-25T17:54:27.060+02:00,1000,1024,1024,1053,0,12,3,112,1.2849,0.2292,0.0792,13.0739,0.4021,1.6721,11.703,1.507,195.263,49.31,49.3,49.2,1.6964,0.3071,0.0391,16000,1024,549.39,0.8958,0.0954,0.0058,0.0029
2026-08-25T17:54:57.060+02:00,1000,1024,1024,1053,0,13,7,119,1.261,0.2299,0.1623,1.8901,0.4131,2.2789,1.526,1.496,113.234,49.3,49.3,49.22,1.6157,0.2919,0.047,16000,1024,492.6,0.7692,0.1926,0.0228,0.0154
2026-08-25T17:55:27.060+02:00,1000,1024,1024,1053,0,14,1,120,1.2976,0.2266,0.0632,1.9429,0.4166,0.1977,1.524,1.482,2.931,49.27,49.28,49.26,1.826,0.3158,0.0557,16000,1024,505.5,0.8938,0.0906,0.0118,0.0038
2026-08-25T17:55:57.064+02:00,1000,1024,1024,1053,0,14,0,120,1.3296,0.2205,0.0922,1.9922,0.3654,1.9858,1.535,1.443,211.259,49.25,49.24,49.33,1.9306,0.3122,0.07,16000,1024,363.44,0.6709,0.2998,0.021,0.0083
2026-08-25T17:56:27.060+02:00,1000,1024,1024,1053,0,14,0,120,1.3434,0.2233,0.1327,2.0007,0.408,1.9882,1.528,1.464,148.457,49.23,49.24,49.35,1.9484,0.3201,0.0615,16000,1024,416.74,0.7241,0.2619,0.0087,0.0053
2026-08-25T17:56:57.066+02:00,1000,1024,1024,1053,0,14,1,121,1.3644,0.2227,0.0913,2.046,0.3999,1.9949,1.531,1.455,223.771,49.24,49.24,49.22,1.9807,0.3155,0.0646,16000,1024,674.18,0.7999,0.1822,0.0126,0.0054
