ts,tempExt,accX,accY,accZ,gyroX,gyroY,gyroZ,motorTemp,noise
2026-08-25T17:48:18.085+02:00,27.75,10.27,-0.24,1.67,-0.02,-0.0,-0.02,31.97,4517
2026-08-25T17:48:19.084+02:00,27.75,10.2,-0.22,1.7,-0.02,-0.0,-0.01,31.97,588
2026-08-25T17:48:20.087+02:00,27.75,10.21,-0.18,1.69,-0.02,-0.01,-0.02,32.01,3406
2026-08-25T17:48:21.084+02:00,27.75,10.23,-0.17,1.6,-0.02,-0.0,-0.01,32.06,400
2026-08-25T17:48:22.085+02:00,27.75,10.25,-0.17,1.67,-0.02,-0.0,-0.02,32.06,3678
2026-08-25T17:48:23.084+02:00,27.75,10.25,-0.23,1.72,-0.02,-0.0,-0.02,32.06,5041
2026-08-25T17:48:24.085+02:00,27.75,10.22,-0.19,1.67,-0.02,-0.01,-0.01,32.06,5875
2026-08-25T17:48:25.084+02:00,27.75,10.21,-0.23,1.65,-0.02,-0.01,-0.01,32.01,971
2026-08-25T17:48:27.103+02:00,27.75,10.21,-0.23,1.64,-0.02,-0.0,-0.01,32.06,3459
2026-08-25T17:48:28.086+02:00,27.75,10.2,-0.2,1.6,-0.02,-0.0,-0.02,32.01,5113
2026-08-25T17:48:29.083+02:00,27.75,10.24,-0.22,1.65,-0.02,-0.01,-0.01,32.01,3978
2026-08-25T17:48:30.083+02:00,27.75,10.18,-0.22,1.6,-0.02,-0.01,-0.01,32.01,4079
2026-08-25T17:48:31.088+02:00,27.75,10.16,-0.21,1.62,-0.02,-0.01,-0.01,32.06,2443
2026-08-25T17:48:32.084+02:00,27.75,10.25,-0.0,-0.0,-0.0,-0.0,-0.0,36.53,105
2026-08-25T17:48:33.083+02:00,27.75,10.21,-0.18,1.62,-0.02,-0.0,-0.02,31.92,1505
2026-08-25T17:48:34.083+02:00,27.75,10.19,-0.17,1.7,-0.02,-0.01,-0.01,32.01,4225
